match_id,team_a_team_name,team_b_team_name,best_of,is_lan,elo_diff,series_kills_roll_diff,series_deaths_roll_diff,series_damage_roll_diff,series_kdr_roll_diff,bp_rating_roll_diff,bp_std_roll_diff,bp_max_roll_diff,top_kills_share_roll_diff,bp_range_roll_diff
93815,LA Guerrillas M8,Minnesota RØKKR,5,0,-16,41.0,-41.0,2431.0,0.2173,0.1525,0.0896,0.24,0.0123,0.0875
93816,Boston Breach,OpTic Texas,5,0,16,-17.0,17.0,-1356.0,-0.0885,-0.0775,-0.0725,-0.12,-0.0135,-0.0425
93817,Carolina Royal Ravens,Vegas Falcons,5,0,16,11.0,-13.0,1149.0,0.0842,0.1175,0.0056,0.07,-0.0006,-0.0475
93818,Atlanta FaZe,Toronto Ultra,5,0,-16,-9.0,9.0,-453.0,-0.0633,-0.1175,-0.0601,-0.21,-0.0221,-0.0925
93819,Miami Heretics,Vegas Falcons,5,0,45,-9.0,-44.5,-1790.5,0.1492,0.285,-0.0649,0.18,-0.0225,-0.105
93820,Boston Breach,Minnesota RØKKR,5,0,-16,28.0,-22.0,-114.5,0.1429,0.1488,-0.0161,0.12,-0.0044,-0.0287
93821,Toronto Ultra,Vancouver Surge,5,0,46,-25.0,-56.5,-3422.5,0.0893,0.0937,-0.0336,0.085,0.0104,-0.0088
93822,Cloud9 New York,Los Angeles Thieves,5,0,-16,-61.0,64.0,-4202.0,-0.4026,-0.6225,-0.0082,-0.61,-0.0129,0.0125
93823,Carolina Royal Ravens,LA Guerrillas M8,5,0,75,-34.5,-60.5,-4988.5,0.089,0.1062,0.0446,0.16,-0.0103,0.0538
93824,Miami Heretics,Vancouver Surge,5,0,37,-51.5,-82.0,-7469.0,0.1043,0.21,0.0423,0.255,0.0257,0.045
93825,Cloud9 New York,OpTic Texas,5,0,-16,-80.5,9.5,-7122.5,-0.3409,-0.4713,-0.096,-0.575,-0.0082,-0.1037
93826,Atlanta FaZe,Los Angeles Thieves,5,0,-75,-40.5,13.5,-2794.5,-0.1749,-0.3325,0.0027,-0.325,-0.0151,0.0075
93827,LA Guerrillas M8,Los Angeles Thieves,5,0,-123,-12.0,24.0,-905.0,-0.1179,-0.1825,0.0242,-0.1767,0.0039,0.0058
93828,Cloud9 New York,Minnesota RØKKR,5,0,-101,-67.6667,-52.6667,-9965.6667,-0.0709,-0.0917,-0.0392,-0.1433,0.0013,-0.0517
93829,Boston Breach,Miami Heretics,5,0,23,51.3333,62.6667,5898.6667,-0.0382,-0.0883,-0.0382,-0.1233,-0.0113,-0.035
93830,OpTic Texas,Vancouver Surge,5,0,9,8.6667,-61.0,-2167.6667,0.2397,0.3233,0.0156,0.34,0.0027,0.0167
93831,Toronto Ultra,Vegas Falcons,5,0,127,59.6667,30.0,7598.0,0.1156,0.2458,-0.0146,0.2233,0.0152,-0.0225
93832,LA Guerrillas M8,OpTic Texas,5,0,-119,15.5,40.0,2962.5,-0.106,-0.1787,-0.0286,-0.2225,0.009,-0.0437
93833,Atlanta FaZe,Carolina Royal Ravens,5,0,-123,-11.6667,45.0,-99.6667,-0.2192,-0.3467,-0.0447,-0.39,-0.0162,-0.0433
93834,Boston Breach,Vancouver Surge,5,0,67,31.25,-2.0,2270.5,0.0989,0.1244,-0.0282,0.1,-0.0013,-0.0244
93835,Miami Heretics,Toronto Ultra,5,0,-127,4.75,17.0,928.75,-0.0339,-0.1013,0.0225,-0.09,-0.0108,0.0113
93836,Atlanta FaZe,Vegas Falcons,5,0,18,48.75,29.5,6036.0,0.0686,0.0856,-0.0326,0.015,-0.0149,-0.0706
93837,Carolina Royal Ravens,Cloud9 New York,5,0,109,42.25,-39.0,4058.5,0.2802,0.355,0.0257,0.3775,-0.0013,0.0225
93838,Los Angeles Thieves,Minnesota RØKKR,5,0,70,27.5,-15.0,1472.5,0.1269,0.1706,-0.012,0.16,0.0045,-0.0106
93839,LA Guerrillas M8,Minnesota RØKKR,5,1,-104,12.2,8.0,464.4,0.0025,-0.002,0.0141,-0.002,0.0126,0.0
93840,Atlanta FaZe,Miami Heretics,5,1,27,-13.2,-18.2,-2282.4,0.0119,-0.0255,-0.0074,-0.04,-0.0049,-0.0145
93841,OpTic Texas,Vegas Falcons,5,1,172,87.0,35.2,9331.2,0.2057,0.3,0.0176,0.296,-0.0139,-0.004
93842,Cloud9 New York,Vancouver Surge,5,1,23,-35.2,-38.2,-5051.2,0.0245,0.0275,-0.0111,0.004,0.0148,-0.0235
93843,Minnesota RØKKR,Toronto Ultra,5,1,-63,16.2,28.4,1462.2,-0.0381,-0.1145,0.0263,-0.094,-0.0073,0.0205
93844,Boston Breach,OpTic Texas,5,1,-30,35.0,57.4,5378.8,-0.0972,-0.105,-0.0367,-0.154,-0.0043,-0.049
93845,Carolina Royal Ravens,Cloud9 New York,5,1,122,43.4,-3.2,5094.0,0.1533,0.1995,0.0215,0.23,0.0044,0.0305
93846,Atlanta FaZe,Los Angeles Thieves,5,1,-98,-48.4,-45.4,-5770.8,-0.0126,-0.073,0.0063,-0.076,-0.0069,-0.003
93847,Atlanta FaZe,Minnesota RØKKR,5,1,-13,-35.0,-45.4,-4135.8,0.0286,0.0255,0.0012,0.02,0.0008,-0.0055
93848,Carolina Royal Ravens,OpTic Texas,5,1,36,-9.6,-7.4,-457.6,0.0085,0.0395,-0.03,0.016,0.0113,-0.0235
93849,Atlanta FaZe,Carolina Royal Ravens,5,1,-72,13.0,-14.4,1071.8,0.072,0.0835,0.0217,0.098,0.0012,0.0145
93850,Cloud9 New York,LA Guerrillas M8,5,0,67,-29.6,-33.6,-2987.0,0.0275,0.038,-0.0055,0.026,-0.0012,-0.012
93851,OpTic Texas,Vegas Falcons,5,0,205,108.2,47.8,11974.6,0.2085,0.246,0.0232,0.246,-0.0222,-0.0
93852,Minnesota RØKKR,Toronto Ultra,5,0,-54,26.4,39.0,2759.2,-0.0377,-0.096,0.0276,-0.06,-0.0003,0.036
93853,Vancouver Surge,Vegas Falcons,5,0,76,33.0,22.6,3750.6,0.0344,0.048,-0.0226,0.02,-0.0224,-0.028
93854,Cloud9 New York,Miami Heretics,5,0,0,-24.2,-33.0,-3857.8,0.044,0.0445,-0.0169,0.018,-0.0022,-0.0265
93855,Boston Breach,Carolina Royal Ravens,5,0,-65,3.4,-21.6,-23.4,0.0668,0.0945,0.0103,0.1,0.0003,0.0055
93856,LA Guerrillas M8,Toronto Ultra,5,0,-181,-4.2,8.0,-1577.6,-0.04,-0.116,0.0211,-0.082,-0.0058,0.034
93857,Los Angeles Thieves,OpTic Texas,5,0,-39,10.8,54.0,2375.0,-0.1411,-0.0955,-0.0403,-0.122,0.0013,-0.0265
93858,Atlanta FaZe,Minnesota RØKKR,5,0,112,3.0,-39.8,-574.2,0.1414,0.187,-0.0159,0.17,-0.004,-0.017
93859,Carolina Royal Ravens,Vancouver Surge,5,0,106,49.8,42.6,6287.4,0.0334,0.002,0.0041,0.006,-0.001,0.004
93860,Los Angeles Thieves,Miami Heretics,5,0,101,21.2,6.6,1612.2,0.0469,0.0865,0.0141,0.1,0.0084,0.0135
93861,Atlanta FaZe,Boston Breach,5,0,66,6.6,-30.2,205.2,0.1468,0.183,0.0191,0.198,0.005,0.015
93862,Minnesota RØKKR,Vancouver Surge,5,0,-30,33.6,32.8,4640.4,0.0085,-0.0485,0.0378,-0.026,0.0059,0.0225
93863,LA Guerrillas M8,Vegas Falcons,5,0,80,40.0,-5.0,3394.4,0.1604,0.1835,-0.0257,0.158,-0.0283,-0.0255
93864,Carolina Royal Ravens,Miami Heretics,5,0,121,28.4,21.4,3037.2,0.027,0.011,0.0042,0.03,0.0135,0.019
93865,Boston Breach,Los Angeles Thieves,5,0,-1,-29.6,-19.6,-3780.6,-0.0478,-0.02,0.0209,0.006,0.0181,0.026
93866,Atlanta FaZe,Cloud9 New York,5,0,253,26.0,-7.8,2275.4,0.11,0.172,0.0365,0.206,-0.0023,0.034
93867,OpTic Texas,Toronto Ultra,5,0,24,20.6,-21.8,1064.4,0.1289,0.062,0.0431,0.108,-0.009,0.046
93868,Atlanta FaZe,Boston Breach,5,1,98,23.2,-44.4,1275.4,0.2892,0.3395,-0.0159,0.316,-0.0231,-0.0235
93869,Toronto Ultra,Vancouver Surge,5,1,73,14.6,-3.8,1752.0,0.085,0.077,-0.0063,0.05,-0.0019,-0.027
93870,Carolina Royal Ravens,Los Angeles Thieves,5,1,11,-3.0,33.8,768.8,-0.1389,-0.224,0.0113,-0.184,0.0099,0.04
93871,Miami Heretics,OpTic Texas,5,1,-218,-51.2,10.0,-4690.8,-0.1872,-0.171,-0.0115,-0.17,-0.0001,0.001
93872,Carolina Royal Ravens,Vegas Falcons,5,1,219,59.6,33.8,6739.2,0.1,0.0705,-0.009,0.072,-0.0135,0.0015
93873,Minnesota RØKKR,Vancouver Surge,5,1,-30,30.8,19.2,4074.6,0.0378,0.0145,0.0465,0.048,0.0033,0.0335
93874,LA Guerrillas M8,OpTic Texas,5,1,-178,-65.2,-43.6,-8405.0,-0.0571,-0.0375,0.0013,-0.032,-0.0007,0.0055
93875,Boston Breach,Cloud9 New York,5,1,140,-58.4,-33.8,-7624.4,-0.1,-0.0915,0.0501,-0.05,0.0259,0.0415
93876,Carolina Royal Ravens,OpTic Texas,5,1,-58,-33.4,-31.4,-3638.8,-0.0016,-0.0385,0.0106,-0.016,0.0148,0.0225
93877,Cloud9 New York,Minnesota RØKKR,5,1,-64,-29.0,-26.6,-3066.8,-0.0042,-0.017,-0.0606,-0.066,-0.0103,-0.049
93878,Los Angeles Thieves,Miami Heretics,5,1,118,-5.4,-53.0,-2044.2,0.1773,0.219,-0.011,0.2,0.0021,-0.019
93879,Atlanta FaZe,Toronto Ultra,5,1,90,-17.2,-59.4,-3260.2,0.175,0.222,-0.0073,0.21,-0.0119,-0.012
93880,Miami Heretics,Minnesota RØKKR,5,1,-57,-46.2,-23.4,-4334.4,-0.0681,-0.057,-0.0343,-0.096,-0.0137,-0.039
93881,Carolina Royal Ravens,Toronto Ultra,5,1,9,3.4,3.6,1052.6,-0.0041,-0.027,-0.0139,-0.042,0.0034,-0.015
93882,Carolina Royal Ravens,Miami Heretics,5,1,115,-24.4,-29.8,-3625.4,0.0268,0.0015,-0.0011,0.006,0.0026,0.0045
93883,Atlanta FaZe,Los Angeles Thieves,5,1,135,-31.0,-19.2,-4006.8,-0.0124,0.01,-0.0101,-0.018,-0.0078,-0.028
93884,Los Angeles Thieves,Miami Heretics,5,1,64,8.8,-54.6,-1242.6,0.2658,0.306,0.0203,0.332,-0.0012,0.026
93885,Atlanta FaZe,Los Angeles Thieves,7,1,148,10.4,22.8,1175.8,-0.0582,-0.034,-0.0354,-0.076,-0.0137,-0.042
93886,Carolina Royal Ravens,Los Angeles Thieves,5,0,-21,-18.4,-1.4,-1743.2,-0.0851,-0.16,-0.003,-0.164,0.0087,-0.004
93887,Boston Breach,Vegas Falcons,5,0,216,-7.4,-9.4,-1660.6,-0.0079,0.0425,0.0171,0.076,0.0094,0.0335
93888,Atlanta FaZe,Vancouver Surge,5,0,259,-10.4,-34.8,-1445.8,0.1117,0.09,-0.0569,0.018,-0.0228,-0.072
93889,Boston Breach,LA Guerrillas M8,5,0,120,-5.6,35.2,969.8,-0.1508,-0.13,0.0588,-0.076,0.0338,0.054
93890,Miami Heretics,Minnesota RØKKR,5,0,-2,-101.0,-52.6,-10781.2,-0.1604,-0.1975,-0.024,-0.23,0.0087,-0.0325
93891,Atlanta FaZe,OpTic Texas,5,0,127,17.8,3.6,2252.0,0.0851,0.1075,-0.0305,0.076,-0.0103,-0.0315
93892,Cloud9 New York,Toronto Ultra,5,0,-122,51.2,39.6,6038.2,0.0461,0.0675,-0.0173,0.044,-0.0114,-0.0235
93893,Los Angeles Thieves,Vegas Falcons,5,0,321,54.0,6.2,5585.6,0.196,0.2965,-0.0485,0.252,-0.0186,-0.0445
93894,Carolina Royal Ravens,Toronto Ultra,5,0,9,26.6,39.4,4018.8,-0.0367,-0.0705,-0.0357,-0.122,-0.0066,-0.0515
93895,Cloud9 New York,Vancouver Surge,5,0,-77,-5.2,-15.2,-760.0,0.0492,0.001,-0.0142,-0.004,-0.0106,-0.005
93896,Minnesota RØKKR,OpTic Texas,5,0,-36,71.2,16.6,7314.8,0.1861,0.222,-0.0066,0.226,-0.0006,0.004
93897,Carolina Royal Ravens,Minnesota RØKKR,5,0,-19,-31.8,-7.4,-2255.2,-0.0585,-0.091,-0.0111,-0.098,0.0068,-0.007
93898,LA Guerrillas M8,Miami Heretics,5,0,-76,9.4,-19.2,-317.4,0.1008,0.0935,-0.0116,0.106,-0.0085,0.0125
93899,Cloud9 New York,Vegas Falcons,5,0,158,62.6,19.8,6718.0,0.1919,0.3135,-0.035,0.298,-0.0093,-0.0155
93900,Atlanta FaZe,Miami Heretics,5,0,243,84.0,27.0,9535.2,0.2074,0.225,-0.0159,0.222,-0.0151,-0.003
93901,Carolina Royal Ravens,OpTic Texas,5,0,28,12.8,-25.0,1001.8,0.1694,0.216,0.0014,0.224,0.0021,0.008
93902,LA Guerrillas M8,Vancouver Surge,5,0,-180,-22.6,-35.2,-2956.2,0.0522,0.0235,-0.0056,0.024,-0.0072,0.0005
93903,Boston Breach,Toronto Ultra,5,0,-14,2.4,17.0,752.8,-0.0458,-0.0295,0.0219,-0.028,0.0119,0.0015
93904,Minnesota RØKKR,Vegas Falcons,5,0,254,55.4,5.4,5499.4,0.2121,0.3255,-0.0016,0.332,-0.0107,0.0065
93905,Los Angeles Thieves,Toronto Ultra,5,0,51,-6.8,-36.0,-2026.4,0.1439,0.25,-0.0006,0.24,-0.0126,-0.01
93906,Boston Breach,Cloud9 New York,5,0,51,37.4,76.6,6235.2,-0.2575,-0.2375,0.0387,-0.206,0.0077,0.0315
93910,LA Guerrillas M8,Miami Heretics,5,1,-96,47.6,15.2,4903.4,0.0955,0.1345,-0.0209,0.124,-0.0086,-0.0105
93908,OpTic Texas,Vegas Falcons,5,1,254,2.8,5.8,299.0,-0.0021,0.078,0.0073,0.07,-0.0064,-0.008
93907,Boston Breach,Vancouver Surge,5,1,-92,-49.4,-24.4,-4845.4,-0.1073,-0.154,0.0125,-0.126,0.0047,0.028
93909,Cloud9 New York,Minnesota RØKKR,5,1,-20,-18.2,-16.4,-2037.4,0.0802,0.069,-0.04,0.03,-0.0018,-0.039
93914,Carolina Royal Ravens,LA Guerrillas M8,5,1,183,-44.6,-67.0,-6181.2,0.116,0.1355,0.0331,0.17,-0.0017,0.0345
93911,Atlanta FaZe,Vancouver Surge,5,1,127,-8.6,-20.2,-407.6,0.0689,-0.023,-0.0457,-0.056,-0.0118,-0.033
93912,OpTic Texas,Toronto Ultra,5,1,-54,-62.2,-34.0,-7286.6,-0.1146,-0.1735,0.0014,-0.192,-0.008,-0.0185
93913,Cloud9 New York,Los Angeles Thieves,5,1,-133,-53.4,-37.0,-5880.0,0.0253,-0.059,-0.0238,-0.086,0.0009,-0.027
93915,Carolina Royal Ravens,Los Angeles Thieves,5,1,-87,-33.0,-12.0,-3003.2,-0.0607,-0.1475,0.005,-0.132,0.0014,0.0155
93916,Toronto Ultra,Vancouver Surge,5,1,-64,-45.2,-25.2,-4404.8,-0.0736,-0.1005,-0.0045,-0.092,0.0011,0.0085
93917,Los Angeles Thieves,Vancouver Surge,7,1,47,-36.8,-53.8,-4251.0,0.0596,0.1035,-0.0081,0.084,-0.0043,-0.0195
93918,Los Angeles Thieves,Vancouver Surge,5,0,100,-20.2,-47.6,-2522.2,0.1,0.152,0.0011,0.124,-0.0029,-0.028
93919,Toronto Ultra,Vegas Falcons,5,0,317,54.4,26.0,6127.8,0.131,0.2565,0.0065,0.266,0.0019,0.0095
93920,Cloud9 New York,LA Guerrillas M8,5,0,130,-12.2,-53.2,-2669.8,0.2833,0.3095,-0.0041,0.298,-0.0062,-0.0115
93921,Atlanta FaZe,Minnesota RØKKR,5,0,209,52.4,26.8,6074.6,0.1255,0.122,-0.0045,0.112,-0.0072,-0.01
93922,Carolina Royal Ravens,Cloud9 New York,5,0,58,-17.2,-36.4,-2485.6,-0.0145,0.05,0.0317,0.104,0.013,0.054
93923,Boston Breach,Los Angeles Thieves,5,0,-285,-31.0,32.6,-2017.2,-0.2818,-0.3745,-0.0064,-0.366,0.0034,0.0085
93924,Miami Heretics,OpTic Texas,5,0,-33,39.0,35.6,5179.8,0.0472,0.089,0.012,0.096,0.0036,0.007
93925,LA Guerrillas M8,Vegas Falcons,5,0,139,44.0,36.4,5294.2,0.0499,0.188,0.0041,0.186,-0.0065,-0.002
93926,Miami Heretics,Vancouver Surge,5,0,-146,-41.2,-36.8,-4140.2,-0.0096,-0.052,-0.0012,-0.08,-0.0003,-0.028
93927,OpTic Texas,Toronto Ultra,5,0,-123,-25.2,15.8,-2259.8,-0.1898,-0.2685,-0.057,-0.34,-0.0153,-0.0715
93928,Atlanta FaZe,Boston Breach,5,0,264,37.2,-39.2,2769.8,0.3272,0.383,0.0209,0.4,-0.0006,0.017
93929,Toronto Ultra,Vancouver Surge,5,0,-23,-52.8,-75.6,-6615.4,0.0961,0.145,0.023,0.166,0.0029,0.021
93930,Los Angeles Thieves,OpTic Texas,5,0,324,60.4,-10.6,5676.6,0.3612,0.431,0.0029,0.43,-0.0137,-0.001
93931,Carolina Royal Ravens,Miami Heretics,5,0,152,-32.8,-78.8,-5256.0,0.1846,0.2465,-0.0022,0.24,-0.0068,-0.0065
93932,Boston Breach,Miami Heretics,5,0,23,-18.8,10.8,-2197.8,-0.1227,-0.1,-0.0675,-0.192,-0.0271,-0.092
93933,Los Angeles Thieves,Minnesota RØKKR,5,0,287,57.6,14.2,5644.2,0.2211,0.287,-0.0149,0.28,-0.0073,-0.007
93934,Carolina Royal Ravens,Vegas Falcons,5,0,401,30.6,-9.8,2639.0,0.1768,0.282,0.0296,0.316,-0.0122,0.034
93935,Atlanta FaZe,LA Guerrillas M8,5,0,343,92.2,40.2,9687.8,0.2061,0.1965,0.0278,0.232,-0.003,0.0355
93936,LA Guerrillas M8,OpTic Texas,5,0,-62,12.2,9.6,1686.8,0.0275,0.082,-0.0092,0.06,-0.0105,-0.022
93937,Minnesota RØKKR,Vancouver Surge,5,0,-134,-72.2,-70.6,-8396.8,0.0046,-0.0275,0.0118,-0.04,0.0036,-0.0125
93938,Atlanta FaZe,Cloud9 New York,5,0,238,49.4,9.8,4894.6,0.1078,0.1375,0.0048,0.17,0.0018,0.0325
93939,Carolina Royal Ravens,Vancouver Surge,5,1,-10,-16.8,-24.0,-2125.2,0.0339,-0.009,0.0025,-0.012,0.0032,-0.003
93940,Cloud9 New York,Toronto Ultra,5,1,-114,6.4,22.0,701.8,-0.036,-0.06,-0.0143,-0.118,-0.0188,-0.058
93941,Boston Breach,Los Angeles Thieves,5,1,-273,51.0,98.2,7967.4,-0.248,-0.304,-0.0231,-0.332,-0.0099,-0.028
93942,Atlanta FaZe,Minnesota RØKKR,5,1,299,45.6,-6.6,3783.4,0.223,0.339,-0.0091,0.324,-0.0174,-0.015
93943,Los Angeles Thieves,Miami Heretics,5,1,319,-7.4,-29.4,-2051.0,0.1648,0.2625,-0.0707,0.184,-0.0305,-0.0785
93944,Carolina Royal Ravens,Vegas Falcons,5,1,382,35.4,-11.0,2358.4,0.2217,0.3085,0.0343,0.34,-0.005,0.0315
93945,Minnesota RØKKR,OpTic Texas,5,1,-27,5.2,25.2,1504.6,-0.0787,-0.1685,-0.0041,-0.166,0.016,0.0025
93946,LA Guerrillas M8,Toronto Ultra,5,1,-236,-34.8,18.2,-3213.2,-0.2523,-0.2735,-0.0601,-0.35,-0.0209,-0.0765
93947,Carolina Royal Ravens,Los Angeles Thieves,5,1,-143,-44.6,-23.6,-4564.8,-0.1435,-0.2115,0.0044,-0.224,0.0123,-0.0125
93948,OpTic Texas,Toronto Ultra,5,1,-123,-43.4,-2.8,-4462.6,-0.2115,-0.248,-0.0042,-0.256,0.0036,-0.008
93949,Boston Breach,Vancouver Surge,5,1,-132,0.6,33.2,725.0,-0.1104,-0.134,-0.017,-0.146,-0.0124,-0.012
93950,Atlanta FaZe,Cloud9 New York,5,1,232,55.6,24.0,6150.8,0.0743,0.116,-0.0303,0.102,-0.0063,-0.014
93951,Boston Breach,Toronto Ultra,5,1,-120,77.0,114.4,10649.0,-0.1713,-0.1895,-0.0338,-0.218,-0.0186,-0.0285
93952,Cloud9 New York,Los Angeles Thieves,5,1,-240,-18.8,14.2,-1334.2,-0.1561,-0.25,0.0144,-0.258,0.0042,-0.008
93953,Los Angeles Thieves,Toronto Ultra,5,1,104,36.8,62.4,5005.2,-0.1169,-0.0875,-0.0229,-0.104,-0.0029,-0.0165
93954,Atlanta FaZe,Vancouver Surge,5,1,112,-17.2,-12.2,-1927.0,0.0016,0.0435,0.006,0.068,-0.004,0.0245
93955,Toronto Ultra,Vancouver Surge,5,1,15,-99.0,-92.8,-12844.8,0.0568,0.061,0.0296,0.11,0.0068,0.049
93956,Atlanta FaZe,Vancouver Surge,7,1,122,-18.8,-34.4,-2783.6,0.0698,0.13,0.0147,0.172,-0.0043,0.042
93957,Vancouver Surge,Vegas Falcons,5,0,454,103.4,51.8,11284.0,0.2336,0.317,0.0138,0.314,-0.0113,-0.003
93958,Minnesota RØKKR,OpTic Texas,5,0,-63,16.6,34.6,2862.6,-0.068,-0.1345,-0.0052,-0.12,0.01,0.0145
93959,Atlanta FaZe,Toronto Ultra,5,0,144,53.0,41.8,7371.2,0.0063,0.034,-0.0006,0.032,-0.0077,-0.002
93960,Miami Heretics,Vegas Falcons,5,0,205,76.6,46.8,7934.0,0.117,0.1355,0.0674,0.22,0.0048,0.0845
93961,Carolina Royal Ravens,LA Guerrillas M8,5,0,245,1.4,-12.4,-51.8,0.0601,0.021,-0.0011,0.002,0.0018,-0.019
93962,Cloud9 New York,OpTic Texas,5,0,-1,-13.2,23.6,-1190.6,-0.157,-0.207,-0.0189,-0.23,-0.0013,-0.023
93963,Boston Breach,Toronto Ultra,5,0,-180,37.6,42.8,4855.6,-0.0066,-0.0285,-0.0211,-0.06,-0.0226,-0.0315
93964,Boston Breach,Minnesota RØKKR,5,0,123,1.8,0.6,-271.2,0.0543,0.01,-0.0685,-0.07,-0.0382,-0.08
93965,Atlanta FaZe,Carolina Royal Ravens,5,0,185,99.0,67.4,12297.2,0.0979,0.188,0.0193,0.23,-0.0163,0.042
93966,Los Angeles Thieves,Vancouver Surge,5,0,72,-45.6,-49.4,-7242.4,0.0307,0.1115,0.0199,0.132,0.0024,0.0205
93967,Miami Heretics,OpTic Texas,5,0,-86,45.0,49.0,5094.2,-0.0514,-0.107,0.0405,-0.038,0.0189,0.069
93968,LA Guerrillas M8,Vancouver Surge,5,0,-315,-6.8,29.2,-475.4,-0.1715,-0.193,-0.0142,-0.206,-0.0067,-0.013
93969,Carolina Royal Ravens,Minnesota RØKKR,5,0,155,-37.8,-27.6,-4522.8,0.0022,0.001,-0.0441,-0.066,-0.019,-0.067
93970,Atlanta FaZe,Miami Heretics,5,0,303,-11.8,2.8,-70.6,-0.0351,0.0285,-0.032,-0.008,-0.022,-0.0365
93971,OpTic Texas,Vegas Falcons,5,0,267,20.0,7.4,2282.2,0.0824,0.075,0.0161,0.086,-0.0044,0.011
93972,Boston Breach,LA Guerrillas M8,5,0,181,19.8,8.6,2556.2,0.088,0.0815,-0.0419,0.034,-0.0174,-0.0475
93973,Cloud9 New York,Los Angeles Thieves,5,0,-280,23.6,61.2,4629.0,-0.1819,-0.2745,-0.0231,-0.284,-0.0013,-0.0095
